Albania,22.0,62.1,15.0	
Algeria,0.1,99.8,30.0	
Angola,2.1,38.5,30.0	
Argentina,6.6,89.7,25.0	
Armenia,31.6,68.2,30.0	
Australia,1.3,95.3,32.0	
Austria,12.1,70.0,20	
Azerbaijan,1.7,97.9,30	
Bahrain,0.0,99.8,28	
Bangladesh,0.1,70.2,31	
Belarus,0.0,90.4,19	
Belgium,21.8,73.6,17	
Benin,0.0,39.8,29	
Bolivia,3.2,79.0,26	
Bosnia and Herzegovina,8.7,92.5,20	
Botswana,0.0,64.5,30	
Brazil,15.6,51.3,33	
Brunei Darussalam,0.0,100.0,30	
Bulgaria,24.8,73.0,21	
Cambodia,0.1,25.3,30	
Cameroon,5.0,30.9,34	
Canada,22.2,74.2,22	
Chile,7.4,73.5,27	
China,3.7,87.2,25	
Colombia,11.5,77.4,20	
Congo,2.9,3.7,30	
Costa Rica,35.1,48.1,25	
Cote d'Ivoire,1.9,23.6,30	
Croatia,6.8,83.4,22	
Cuba,0.1,87.5,26	
Cyprus,2.3,95.8,30	
Czech Republic,17.5,79.6,20	
Denmark,3.3,79.7,19	
Dominican Republic,1.8,88.7,19	
Ecuador,6.3,88.1,25	
Egypt,1.7,96.3,29	
El Salvador,34.2,47.2,26	
Eritrea,0.0,22.6,20	
Estonia,0.4,83.4,16	
Ethiopia,1.0,6.0,33	
Finland,21.8,48.6,15	
France,44.4,50.8,25	
Gabon,4.0,38.4,30	
Georgia,22.0,67.0,22	
Germany,13.3,79.2,22	
Ghana,6.3,31.0,27	
Greece,3.0,92.4,25	
Guatemala,5.9,39.2,20	
Haiti,0.7,26.7,30	
Honduras,5.4,50.8,30	
Hong Kong,0.0,95.1,25	
Hungary,16.8,74.2,23	
Iceland,81.7,18.2,13	
India,2.2,72.5,30	
Indonesia,8.5,65.2,30	
Iran,0.3,99.7,28	
Iraq,0.8,97.6,31	
Ireland,2.3,87.7,19	
Israel,4.9,96.5,28	
Italy,5.9,87.5,25	
Jamaica,0.6,82.3,26	
Japan,17.6,81.0,20	
Jordan,1.7,98.0,30	
Kazakhstan,0.9,99.1,33	
Kenya,7.1,19.5,30	
Korea,5.6,89.0,21
Kosovo,0.4,88.2,25	
Kuwait,0.0,100.0,32	
Kyrgyz Republic,35.4,67.9,27	
Latvia,6.9,61.1,16	
Lebanon,1.0,95.6,15	
Libya,0.0,99.2,30	
Lithuania,33.4,55.5,20	
Luxembourg,0.4,88.7,25	
Macedonia,4.2,84.4,30	
Malaysia,0.9,94.2,32	
Malta,0.1,99.8,25	
Mexico,6.3,89.0,30	
Moldova,1.0,92.5,20	
Mongolia,0.0,94.1,24	
Montenegro,17.9,50.4,19	
Morocco,1.7,92.5,33	
Mozambique,15.3,7.9,29	
Myanmar,3.2,23.4,26	
Namibia,8.2,66.4,30	
Nepal,2.7,11.0,23	
Netherlands,2.0,93.1,20	
New Zealand,29.7,64.0,30	
Nicaragua,10.0,47.8,25	
Nigeria,0.4,15.0,30	
Norway,36.5,61.2,17	
Oman,0.0,100.0,34